4\1\2009,*uskon maijan laulatavaa,believe.1sg Maija.gen sing-CAUS.inf.3sg,`I believe Maija to feel like siging.’,va infitive,,ECM,,Finnish
4\1\2009,?Maijaa uskotanaan laulattvan.,Maija-PART believe.pass.3sg. sing-CAUS.inf.3sg,`Maijaa is believed to feel like singing.’,I don’t know if I’m glossing this correctly,,ECM Passive,,Finnish
4\1\2009,Maijaa vaitetaan laula-ttavan,Maija-PART believe.pass sing-CAUS.inf.3sg,`Maija is believed to feel like singing.’,,,ECM Passive,,Finnish
4\1\2009,Maijaa naytaa laula-ttavan,Maija-PART seem.3sg sing-CAUS.inf.acc,`Maija seems to feel like singing.’,(very salient),,Raising,,Finnish
4\1\2009,Maijaa laulatti kun he alkoivet soittaa musiikkia.,Maija-PART sing-CAUS.3sg.past when they start play music,`Maijaa felt like singing when they started to play music.’,not completely glossed,,Aspect,,Finnish
4\1\2009,Maijaa laulatti uudestaan (taas),Maija-PART sing-CAUS.3sg.pst again,`Maija felt like singing again.’,I don’t know what taas is,Modifies feel,AdverbAgain,,Finnish
4\1\2009,Maijaa laulatti aamusta iltaan,Maija-PART sing-CAUS.3sg.pst morning evening,`Maijaa felt like singing from morning to evening.’,,,Aspect,,Finnish
2\16\2010,Maijaa laulatti,Maija-PART sing-CAUS.3sg.pst,`Maija felt like singing.’,,,Impulsative,,Finnish
2\16\2010,??Laulatti Maijaa., sing-CAUS.3sg.pst Maija-PART,`Maija felt like singing.’,,,word order,,Finnish
2\16\2010,Jussi laulatti Maijaa.  ,Jussi.nom sing-CAUS.3sg. Maija-PART  ,`Jussi made Maija sing.’*`Jussi caused Maija to feel like singing.’,,,Causative,,Finnish
2\16\2010,?? Suihkussa laulatti Maijaa.,in.the.shower. sing-CAUS.3sg. Maijaa-PART,`Maija feels like singing in the shower.’,,(better if Maija is focused),word order,,Finnish
2\16\2010,Viidakassa tapetaan Maija.,in.the.jungle kill.pass Maija.acc,`Maija was killed in the jungle.’,,,passive,sentence from Nelson,Finnish
2\16\2010,Suihkassa laulatti Maijaa Jussi.,?? sing-CAUSe.3sg.past Maija-PART Jussi.nom,??,,,,,Finnish
2\16\2010,Maijaa laultti Jussi.*mutta han ei tiennyt kuka ,Maija-PART sing-CAUS.3sg.pst Jussi.nom,Maija made Jussi sing *but she didn't know who,"I’m confused, is this supposed to be a replacement for Jussi or a continuation?",,,,Finnish
2\16\2010,Eric laulatti Ariel.,Eric.nom sing-CAUS.3sg Ariel-PART,`Eric made Ariel sing.’,,,causative,,Finnish
2\16\2010,Arielia laulatti rakastuminen.*mutta hanella ei ole aanta.,Ariel-PART sing-CAUS.3sg falling.in.love. nom but has not3sg voice,"Faling in love caused Ariel to feel like singing, but she has no voice.",,,non animate causer,,Finnish
2\16\2010,*Eric laulatti Arielia muta han ei voirut laulas.,Eric.nom sing-CAUS.3sg.pst Ariel-PART but she not.3sg could sing,`Eric made Ariel (feel like singing) sing but she couldn’t sing.’,,,Causative Impulsative,,Finnish
2\16\2010,Maijaa laulattivat aina ne laulut.,Maija-PART sing-CAUS.3pl.pst these songs,`These songs caused Maija to sing.’,,,Causativeobject,,Finnish
2\16\2010,*Maijaa laulattivat.,Maija-PART sing-CAUS.3pl.pst,`Maija felt like singing.’,,,object,,Finnish
2\16\2010,*Maijaa ei laulata mutta han halusi laulaa.,Maija-PART not.3sg sing-CAUS but she want.3sg.pst sing.3sg,"`Nothing made Maijaa feel like singing, but she wanted to sing.’",,,CausativePeriphrastic Impulsative,,Finnish
2\16\2010,Jussi ei laulatti Maija mutta Maija ,Jussi.nom not.3sg sing-CAUS.3sg.pst Maija.nom but Maija.nom,??,I think this was intended to be continued...,,,,Finnish
2\16\2010,Jussi laulatti Maijaa minutti.,Jussi.nom sing-CAUS.3sg Maija-PART for a minute.,`Jussi made Maija sing for a minute.’,,,AspectTelicity,,Finnish
2\16\2010,Jussi syotti Maijan tayteen. ,Jussi fed Maija.acc full,`Jussi fed Maija until she was full.’,,,Resultative,,Finnish
2\16\2010,Jussi laulatti Maijan pyorryksiin. ,Jussi.nom sing-CAUS.3sg.pst Maija.acc dizzy,`Jussi made Maija sing dizzy.’,,,Resultative,,Finnish
2\16\2010,*Maijan laulatii pyorroksiin.,Maija.acc sing-CAUS.3sg.pst dizzy,`Maija is caused to feel like singing dizzy.’,,,ResultativeImpulsative,,Finnish
9\29\2009,Maijaa laulatti uudestaan.,Maija-PART  sing.DES again.,`Maija feels like singing.’,,"Feels like again, not that she sung before.",AdverbAgain,,Finnish
9\29\2009,Maija haluaa laulaa uudestaan.,Maija.NOM want.3sg sing.inf again.,`Maija wants to sing again.’,Ambiguous.,,Adverbs AgainPeriphrastic,,Finnish
9\29\2009,Eilen Maija halusi laulaa jauluna.,"Yesterday, Maija.NOM want.PST sing.inf at.xmas","`Yesterday, Maija wanted to sing at Christmas.’",,,Time Adverbs,,Finnish
9\29\2009,Maija sai Jussin nauramaan.,Maija.nom got Jussi.acc laugh.inf,`Maija got Jussi to laugh.’,,,Periphrastic Causative,,Finnish
9\29\2009,Maija nauratti Jussia.,Maija.nom laugh-CAUS.3sg.pst Jussi.PAR,`Maija caused Jussi to laugh.’ ,Satoshi says this is not usual for a causative,(but Jussi may or may not have laughed),,,Finnish
9\29\2009,Maija sai Jussin nauranaan uudestaan.,Maija.nom got.3sg Jussi.3sg laugh again,`Maija got Jussi to laugh again.’,,ok someone else got Jussi to laugh beforeok laugh again ok Maija got Jussi to laugh before. ,Periphrastic CausativeAdverb again,,Finnish
9\29\2009,Maija nauratti Jussia uudesaan.,Maija.nom sing-CAUS.3sg.pst Jussi-PART again,`Maija made Jussi sing again.’,,ok on Maija got Jussi to laugh before?? on someone else getting Jussi to laugh?? on Jussi laughing on his own before,Causative,,Finnish
9\29\2009,Maija nauratti Jussin pyarsiin uudestaan.,Maija laugh-CAUS Jussi.acc sick again.,`Maija made Jussi laugh himself sick again.’,,ok with dizzy beforeok w same causerok with dif causerok with jussi laughing on his own,Adverbs Again,,Finnish
9\29\2009,Maija sulatti voin uudestaan. ,Maija.nom melt-CAUS butter.acc again.,`Maija melted the butter again.’,,ok with same causerok with dif causer?? with restituative,Adverbs Again,,Finnish
9\29\2009,Maijan taytyy opiskella uudestaan.,Maija.GEN must study.inf again.,`Maija must study again.’,only modal in Finnish., only if she studied before.,Modal,,Finnish
9\29\2009,Maija sai leikkia uudestaan.,Maija.nom was.allowed play again.,`Maija was allowed to play again.’,,,ModalAdverb Again,,Finnish
9\29\2009,Maija pystyy leipomaan purakan uudestan.,Maija.nom is.abe bake.inf pie.acc,`Maija is able to bake pie again.’,,ok if lost and found recipe* dog ate the pie and she's making pie again.,Adverb Again,,Finnish
10\15\2009,Maijaa laulatti uudestaan.,Maija-PART  sing.DES again.,Maija feels like singing.,,"Feels like again, not that she sung before.",Again,,Finnish
10\15\2009,Maija haluaa laulaa uudestaan.,Maija.NOM want.3sg sing.inf again.,`Maija wants to sing again.’,,Ambiguous.,Periphrastic Desiderative,,Finnish
10\15\2009,Eilen Maija halusi laulaa jauluna.,"Yesterday, Maija.NOM want.PST sing.inf at.xmas","`Yesterday, Maija wanted to sing at Christmas.’",,,Periphrastic DesiderativeTime Adverbs,,Finnish
10\15\2009,Maija sai Jussin nauramaan.,Maija.nom got Jussi.acc laugh.inf,`Maija got Jussi to laugh.’,,,Periphrastic Causitive,,Finnish
10\15\2009,Maija nauratti Jussia.,Maija.nom laugh-CAUSe Jussi.PAR,`Maija caused Jussi to laugh.’ ,(but Jussi may or may not have laughed),ok someone else got Jussi to laugh before,,,Finnish
10\15\2009,Maija nauratti Jussin pyarsiin uudestaan.,Maija laugh-CAUS Jussi.acc sick again.,`Maija made Jussi laugh himself sick again.’,,ok with dizzy beforeok w same causerok with dif causerok with jussi laughing on his own,CausativeResultativeAdverb Again,,Finnish
10\15\2009,Maija sulatti voin uudestaan. ,Maija.nom melt-CAUS butter.acc again.,`Maija melted the butter again.’,,ok with same causerok with dif causer?? with restituative,CausativeAdverb Again,,Finnish
10\15\2009,Maijan taytyy opiskella uudestaan.,Maija.GEN must study.inf again.,`Maija must study again.’,only modal in Finnish.,ambiguous only if she studied before.,Modal,,Finnish
10\15\2009,Maija sai leikkia uudestaan.,Maija.nom was.allowed play again.,`Maija was allowed to play again.’,,,Adverb Again,,Finnish
10\15\2009,Maija pystyy leipomaan purakan uudestan.,Maija.nom is.abe bake.inf pie.acc,Maija is able to bake pie again.,,ok if lost and found recipe* dog ate the pie and she's making pie again.,,,Finnish
,*Maijaa laulattaa laulu.,Maija-PART sing-CAUS.3sg song.acc,`Maija feels like singing a song.’,Impulsatives in Finnish must be intranstive... this is a problem for all theories....,,objects,,Finnish
,Maija sai Jussin nauranaan uudestaan.,Maija.nom got Jussi.acc laugh again,`Maija got Jussi to laugh again.’,,ok laugh again ,Periphrastic CausativeAdverb Again,,Finnish
8/31/10,Minua suretti,I-PART grieve-CAUSe.past.3sg,`I felt grief/saddened’,,,Nelson 2004,Anne,Finnish
8/31/10,Pekka-a raivo-stu-tta-a.,Pekka-part fury-inch-caus-3s,'Pekka feels infuriated',Anne says `stu’ is some kind of verbalizer,,Nelson 2004,Anne,Finnish
8/31/10,Minu-a sure-tt-i (koira-ni kuolema).,I-part grieve-caus-past.3s dog-lsPx death.nom,`I grieved over my dog’s death’,,,Stative Causative Nelson 2004,Anne,Finnish
8/31/10,Han-ta kirjoitu-tt-i.,s/he-part write-caus-past.3s,`She felt like writing.’,so you can have a transitive verb be an impulsative,,Nelson 2004,Anne,Finnish
8/31/10,*Han-ta kirjoitu-tt-i kirjee (n),s/he-part write-caus-past.3s letter.(acc),`She felt like writing a letter.’,"while verb is transitive, it cannot take an object",,,Anne,Finnish
8/31/10,Han-ta kirjoitu-tt-i koira nsa koulema,s/he-part write-caus-past dog-3sPx death.nom,`She felt like writing about her dog’s death.’`Her dog’s death made her feel like writing.’,it can take an object if its an event (sorta),,,Anne,Finnish
8/31/10,Itse-nsa nakeminen pelo·tt-j han·ta.,self-3Px seeing fear-caus-past.3s her-part,'Seeing herself frightened her' ,,,binding nelson  2004,Anne,Finnish
8/31/10,Itse-nsa nakeminen kirjoitutti hanta.,self-3Px seeing write-caus-past.3s her-part,`Seeing herself made her feel like writing.’,,,binding nelson  2004,Anne,Finnish
8/31/10,*Pekkai epaily-tti itse-a-ani,Pekka.nom suspect-caus.3s1past self-part-3Px,`Pekka suspected himself.’,must get impulsative version...,,binding nelson  2004, Anne,Finnish
8/31/10,*Minu-a pelo-te-ttiin.,I-part fear-caus-pass.past,'(People) frightened me',,,Passive Nelson 2004, Anne,Finnish
8/31/10,Minu-a pelo-te-l-tiin.,I-part fear-caus-pass.cont.past,`People keep scaring me.’,"so it is possible to passivize a causative, just have to change the telicity",,passive causative, Anne,Finnish
8/31/10,*Minua kirjoituteltiin,I-part write-caus-pass.cont.past,`I kept on feeling like writing.’,cannot passivize the impulsative,,passive causative impulsative, Anne,Finnish
8/31/10,Hanta naurateltiin,him-part laugh-caus-pass.cont.past,`He kept being made to laugh’*`He kept on feeling like laughing’,so what does this mean?,,passive causative impulsative, Anne,Finnish
12/8/10,Jussi ei laulattanut Maijaa mutta Maija halusi laulaa muuten vain.,Jussi.nom not.3sg sing.tta.inf Maija-PART but Maija.nom want.3sg sing anyways,`Jussi didn’t make Maija sing but she wants to sing anyways.’,I should be sure to get “but she sang anyways”,,causative,Anne,Finnish
12/8/10,*Jussi laulatti Maijan,Jussi.nom sing.tta.3sg.past Maija.acc,Jussi made Maija sing. ,Maija cannot be accusative case,,causative,Anne,Finnish
12/8/10,*Jussi laulatti,Jussi.nom,Jussi made himself sing,cannot be reflexive,,causative,Anne,Finnish
12/8/10,*Jussi laulatti Maijaa laulut,Jussi sing.tta.3sg.pst Maija-PART song.pl.acc,Jussi made Maija sing songs,cannot take accusative object,,causative,Anne,Finnish
12/8/10,Jussi laulatti Maijalla laulun,Jussi sing.tta.3sg.pst Maija.adessive song.acc,Jussi made/had Maija sing a song,acc case can be assign if part arg isnt there,,,Anne,Finnish
12/8/10,*Jussi nauratti Maijalla naurun.,Jussi laugh.tta.3sg.pst Maija.adessive laugh.acc,Jussi made/had Maija laugh a laugh,laugh does not assign acc case,,,Anne,Finnish
12/8/10,Jussia laulatettin.,Jussi-PART sing.pass.tta.3sg,Jussi was made to sing.*Jussi was caused to feel like singing.,,,passive causative,Anne,Finnish
12/8/10,*Jussi laulu laulatettin,Jussi.nom song.acc sing.pass.tta,Jussi made a song be sung,can’t passivize under a causative,,passive causative,Anne,Finnish
12/8/10,Yukalle anettin kirja.,Yukka.allative give.pass book.acc,Yukka was given a book.,,,passive ditransitive,Anne,Finnish
12/8/10,kirja anettin Yukalle, book.acc give.pass Yukka.allative ,A book was given to Yukka.,,,passive ditransitive,Anne,Finnish
12/8/10,H\”anet asiteltiin Yukalle.,He.acc introduce.pass yukka.all,He was introduced to Yukka.,,,passive ditransitive,Anne,Finnish
12/8/10,Minua aivastuttaa,I-PART sneeze.tta.3sg,I feel like sneezing,,,impulsative bodily functions,Anne,Finnish
12/8/10,Minua yskit\”a\”a,I-PART cough.tta.3sg,I feel like coughing,,,impulsative bodily functions,Anne,Finnish
12/8/10,??Suihkussa laulattaa Jussia,in.the.shower sing.tta.3sg Jussi-PART,Jussi feels like singing in the shower.,,"Of the people in the shower, it is Jussi who feels like singing.",word order,Anne,Finnish
12/8/10,?Suihkussa laula Jussi.,in.the.shower sing.3sg Jussi-PART,Jussi sings in the shower. ,this is also focused,,word order,Anne,Finnish
12/8/10,Huoneessa on kylm\”a,in.the.room is cold,it is cold in the room,movement to FP,,word order,Anne,Finnish
12/8/10,,,,,,,Anne,Finnish
,Minu-a sure-tt-i.,I-part grieve-caus-past.3s,'I felt grief/saddened,example 11,,stative causative,Nelson,Finnish
,Pekka-a raivo-stu-tta-a.,Pekka-part fury-inch-caus-3s,'Pekka feels infuriated',ex 12,,inchoative  causative,Nelson,Finnish
,Minu-a sure-tt-i koira-ni kuolema.,I-part grieve-caus-past.3s dog-lsPx death.nom,'I felt grief about my dog's death',ex 13a,,stative causative,Nelson,Finnish
,??Minu-a sure-tt-i Pekka.,I-part grieve-caus-past.3s Pekka.nom,I-part grieve-caus-past.3s Pekka.nom,ex 13b,,stative causative,Nelson,Finnish
,Koira raivo-stu-i (minu-Ile).,dog.nom fury-inch-past.3s me-all,'The dog became infuriated (because of me)',ex 14,,base inchoative,Nelson,Finnish
,Asia raivo-stu-tt-i minu-a I minu-t,matter.nom fury-inch-caus-past.3s me-part I me-acc,'The matter was infuriating I infuriated me',ex 15,,causative inchoative,Nelson,Finnish
,Pekka h\”apde\”a-\”a minu-a.,Pekka.nom be ashamed-3s me-part,'Pekka is ashamed of me',ex 16,,stative base,Nelson,Finnish
,Tama-n kuvalehde-n ostaminen have-tt-i minu-a I*minu-t.,this-ace magazine-ae buying.nom be ashamed-caus-past.3s me-part I me-acc,'Buying this magazine made me feel ashamed',ex 17,,stative causative ,Nelson,Finnish
,Itse-nsa nakeminen hiive-tt-i I pelo·tt-i h\”an·t\”a.,self-3Px seeing be ashamed-caus-past.3s I fear-caus-past.3s himJher-part,'Seeing herselfshamedlfrightened him/her' ,ex 19,,stative causative binding,Nelson,Finnish
,Itse-nsil nakeminen raivo-stu-tt-i I peHi-sty-tt.i h\”ane-t.,self-3Px seeing fury-inch-caus-past.3s I fear-inch-caus-past.3s him/her-acc,'Seeing herself infuriated I frightened himlher',ex 20,,inchoative causative binding,Nelson,Finnish
,Han raivo-stu-i I suuttu-i itse-e-ns\”a,"slhe.nom fury-inch-past,3s I get angry(inch)-past.3s seIf-ill-3Px",'Slhe became furious I angry with himself’,ex 21,,inchoative base,Nelson,Finnish
,H\”an pela-sty-i itse-\”a-\”an,she.nom fear-inch-past.3s self-part-3Px,'She scared him/herself,ex 22,,inchoative base,Nelson,Finnish
,Pekka ep\”aile-e I h\”ape\”a-\”a itse-\”a-\”an.,Pekka.nom doubt-3s I be ashamed-3s self-part-3Px,'Pekka doubts/ is ashamed of himself,ex 23,,stative base,Nelson,Finnish
,AiIi raivo-stu-tt-i I suutu-tt-i itse-nsa.,"Aili.nom fury-inch-caus-past,3s I get angry(inch)-caus-past.3s self(acc)-3Px",'AiIi infuriated I angered herself.,ex 24,,inchoative causative,Nelson,Finnish
,??Pekkai ep\”aily-tti I h\”ave-tt-i itse-\”a-\”an,Pekka.nom suspect-caus.3s1past I be ashamed-caus.past.3s self-part-3Px,Pekka suspected! shamed himself,ex 25,,stative causative,Nelson,Finnish
,Mikko-a hannitt-i I sure-tt-i itse-ns\”a.,Mikko-part annoy-CAUS-past.3s I grieve-eaus-past.3s self.nom-3Px,'Mikko annoyed himselfI made himself sad',ex 26,,stative causative,Nelson,Finnish
,Pekka-a inho-tta-a Jhave-tta-a omaj itse-nsa,Pekka-part loathe-caus-3s I be ashamed-caus-3s own self.nom-3Px,'Pekka loathes/feels ashamed of himself,ex 27,,causative binding,Nelson,Finnish
,??Pekkaj inho-tta-a / have-tta-a oma-a itse-a-anj,Pekka.nom loathe-eaus-3s I be ashamed-caus-3s own-part self-part-3Px,'Pekka loathes/feels ashamed of himself,ex 28,,,Nelson,Finnish
,Kaupungi-ssa ol-tiin i1ois-ia.,city-iness be-pass.past happy-pI-PART,'In the city (the people) were happy',ex 31,,passive,Nelson,Finnish
,Ihmise-t s\”a\”ali-vat Pekka-a.,people-nom.pl pity-3p Pekka-part,'People feel sorry for Pekka',ex 32,,stative active,Nelson,Finnish
,Pekka-a saali-taan.,Pekka-part pity-pass,'Pekka is pitied (by people)',ex 33,,stative passive,Nelson,Finnish
,Mon-i-a asio+ta sur-raan / pel\”a-t\”a\”an.,many-pI-part thing-pi-part worry-pass / fear-pass,'Many things are worried about / feared',"ex 35Stative base verbs allow suppression of the nominative Experiencer in impersonalpassives as predicted, leaving an overt partitive Theme:",,stative passive,Nelson,Finnish
,Minu-a I minu-t ilah-du-te-ttiin I suutu-te-ttiin.,I-part I I-ace glad-inch-eaus-pass.past / get angry.inch-caus-pass.past,'(People) cheered me up I made me angry',ex 36,,inchoative causative passive,Nelson,Finnish
,??Minu-a hanni-te-ttiin I pelo-te-ttiin,I-part armoy-CAUS-pass.past I fear-caus-pass.past,'(People) annoyed / frightened me',ex 37,,stative causative passive,Nelson,Finnish
,miehe-n raivo-stu-tta-ma I peHi-sty-tta-ma nainen,man-gen fury-inch-caus-pass / fear-inch-caus- pass woman.nom,'the woman infuriated I frightened by the man',ex 38,,inchoative causative agentive passive,Nelson,Finnish
,??miehe-n epaily~tta-ma I mielly-tta-ma nainen,man-gen suspect-caus· pass I please-caus- pass woman nom,'the woman made suspicious I pleased by the man',ex 39,,stative causative agentive passive,Nelson,Finnish
,miehen rakasta-ma nainen,man-gen love- pass \voman.nom,'the woman loved by the man',ex 40,,class 1 experiencer verb agentive passive,Nelson,Finnish
,Pekka nah-tiin.,Pekka.nom see-pass.past,'Pekka was seen',ex 41,,passive,Nelson,Finnish
,Sina halua-t osta-a olue-n.,you.nom want-2s buy-inf beer-ace,'You want to buy a beer',ex 42transparent acc case,,accusative,Nelson,Finnish
,Minu-n t\”ayty-y osta-a uusi tietokone.,I-gen must-3s buy-inf new.nom computer.nom,'I must buy a new computer',ex 43acc case being assigned as nominative,,accusative,Nelson,Finnish
,Jarmo-a hannitta-a I mielly-tta-a nah-da mies.,Janno-part annoy-CAUS·3s I please-caus-3s sec-inf man.nom,'Janno is annoyed I pleased to see the man',ex 44,,stative causative,Nelson,Finnish
,Min\”a ep\”aily-t\”a-n h\”an-t\”a,I.nom suspect-caus-Is himfher-part,'I make himlher suspicious',ex 45,,stative causative,Nelson,Finnish
,Minu-a sure-tt-i (koira-ni kuolcma).,I-part grieve-caus-past.3s dog-lsPx death.nom,"'I grieved (over my dog's death)""",ex 46a,,stative causative,nelson,Finnish
,Koirie-ni k-uolema-t sure-tti-vat minu-a.,dogs-I sPx deaths-nom.pl grieve-caus-3p me-part,'My dogs' deaths grieved me',ex 46b,,stative causative,nelson,Finnish
,Sin\”a n\”ay-t ole-van v\”asynyt.,you.nom seem·2s be-pcp tired.sg,'You seem to be tired',ex 47a,,raising,nelson,Finnish
,Te n\”ay-tte ole-van v\”asyne-i-t\”a.,you(pl).nom seem-2p he-pcp tired-pI-part,'You (PI) seem to be tired',,,raising,nelson,Finnish
,Min\”a sur-in h\”an-t\”a I *h\”ane-t,I.nom grieve-past-ls him/her-part I him/her-acc,'I was sad for himlher',ex 48,,stative base,nelson,Finnish
,Asia sure-tt-i minu-a. I *minu-t,matter.nom grieve-caus-past.3s me-part I me-ace,'The matter made me sad',ex 49,,stative causative,nelson,Finnish
,Liisa pelka~si koira~a yhde·n vuode-n aja~n. I ??yhde~ssa vuode~ssa,Liisa.nom fear~past.3s dog~part one~acc year~acc time~accloneÅEiness year~iness,'Liisa feared the dog for a year I in a year',ex 50,,inchoative base,nelson,Finnish
,Koira pelo-tt·i Liisa·a yhde-n YUode-n aja·n /??yhde·ss\”a vuode·ssa.,dog.n fear-caus-past.3s Liisa-p one-ace year-ace time-acc/one-iness year-iness,'The dog frightened Liisa for a year I in a year',ex 51,,inchoative causative,nelson,Finnish
,*Kaisa on inhoa-massa I saali-massa Matti~a.,Kaisa is disgust- prog I pity~prog Matti~part,'Kaisa is disgusted by I pitying Matti',ex 52,,stative progressive,nelson,Finnish
,*Kaisa on inho~tta~massa I saali~tta~massa Matti~a.,Kaisa is disgust~caus~prog I pityÅEcaus~prog Matti-part,'Kaisa is disgusting I causing pity in Matti',ex 53,,stative causative progressive,nelson,Finnish
,Matti sure-e uutisi-a.,Matti.nom grieve-3s news-part,'Matti is sad because of the news (now)''#Matti is sad because ofthe news (on a regular basis)',ex 54,,stative base,nelson,Finnish
,Uutiset sure-tta-vat Matti-a.,news.nom grieve-caus-3p Matti-part,'The news makes Matti sad (now)''#The news makes Matti sad (on a regular basis)',ex 55,,stative causative,nelson,Finnish
,Liisa pela-sty-i koira-a yhde-n vuode-n aja-n I *yhde-ssa vuode-ssa.,Liisa.n fear-inch-past.3s dog-p one-ace year-acc time-acc/one-iness year-iness,'Liisa became frightened of the dog for a year I in a year',ex 56,,inchoative base,nelson,Finnish
,Liisa peIa-sty-i koira-a puolikuoliaaksi.,Liisa.nom fcar-inch-past.3s dog-part half-to-death,'The dog scared Liisa half to death'e,ex 57,,inchoative base,nelson,Finnish
,Koira pela-sty-tt-i Liisa-n puolikuoliaaksi.,dog.nom fear-inch-caus-past.3s Liisa-acc half-te-death,`The dog frightened Liisa half to death',ex 58,,inchoative causative,nelson,Finnish
,Koirn pel\”a-sty-tt-i Liisa-n I Liisa-a yhde-ss\”a vuode-ssa.,dog.nom fear-inch-caus-past.3s Liisa-acc I Liisa-part one-iness year-iness,'The dog frightened Liisa in a year' ,ex 59,,inchoative causative,nelson,Finnish
,??Mies rakast-i AtUla-a tahallaan,man.nom love-past.3s Anna-PART on purpose,'The man loved Anna on purpose',ex 62,,class 1,nelson,Finnish
,Mies suutu-tt-i Anna-n tahallaan,man.nom get angry.inch-caus-past3s Anna-ace on purpos,'The man made Anna angry on purpose',ex 63,,inchoative causative,nelson,Finnish
,??Mies epaily-tt-i Anna-a tahallaan.,man.nom suspect-caus-past.3s Anna-part on purpose,'The man made Anna suspicious on purpose',ex 64,,stative causative,nelson,Finnish
,H\”an-t\”a mieIIy-tt-i vaimo-nsa n\”akeminen.,him-part please-caus-past.3s wife-3Px seeing,"""He was pleased to see his wife'",ex 65a,,stative causative,nelson,Finnish
,Vaimo-nsa nakeminen mielly-tt-i h\”an-t\”a,wife-3Px seeing please-caus-past.3s him-PART,"""Seeing his wife pleased him'",ex 65b,,stative causative,nelson,Finnish
,Pekka pelk\”a-\”a sota-a I Liisa-a.,Pekka.nom fear-pasl3s war-part I Liisa-PART,'Pekka fears war/ Liisa',ex 66,,stative base,nelson,Finnish
,??Pekka s\”a\”ali onnettomuu·tta.,Pekka.nom pity.past.3s accident-part,`Pekka pities the accident.',ex 67a,,base stative,nelson,Finnish
,??Onnettomuus saali-tt-ivat Pekka-a.,accident.nom pity-caus-past/3p Pekka-part,`The accident aroused pity in Pekka',ex 67b,,stative causative,nelson,Finnish
,H\”an kirjoitt-i omael\”am\”akerta-nsa.,s1he.nom write-past.3s autobiography(acc)-3Px,'S/he wrote his/her autobiography',ex 68,,transitive,nelson,Finnish
,H\”an kirjoitu-tt-i oma|’akerta-nsa (kirjailija-lla),s/he.nom write-caus-past.3s autobiography(acc)-3Px (writer-adess),'Slhe had (a writer) write his/her autobiography',ex 69,,causative,nelson,Finnish
,Lapsi synty-i eilen.,child.nom be born-past.3s yesterday,'The child was born yesterday',ex 71a,,unaccusative,nelson,Finnish
,Nainen synny-tti lapse-no,woman.nom be born-caus-past.3s child-ace,'The woman gave birth to the child',71b,,unaccusative causative,nelson,Finnish
