"Maijaa laulatti aamusta iltaan","Maija.part sing.caus.3sg.pst morning evening","`Maijaa felt like singing from morning to evening.’"
"Maijaa laulatti","Maija.part sing.caus.3sg.pst","`Maija felt like singing.’"
"??Laulatti Maijaa."," sing.caus.3sg.pst Maija.part","`Maija felt like singing.’"
"Jussi laulatti Maijaa.  ","Jussi.nom sing.caus.3sg. Maija.part  ","`Jussi made Maija sing.’*`Jussi caused Maija to feel like singing.’"
"?? Suihkussa laulatti Maijaa.","in.the.shower. sing.caus.3sg. Maijaa.part","`Maija feels like singing in the shower.’"
"Viidakassa tapetaan Maija.","in.the.jungle kill.pass Maija.acc","`Maija was killed in the jungle.’"
"Suihkassa laulatti Maijaa Jussi.","?? sing.cause.3sg.past Maija.part Jussi.nom","??"
"Maijaa laultti Jussi.*mutta han ei tiennyt kuka ","Maija.part sing.caus.3sg.pst Jussi.nom","Maija made Jussi sing *but she didn't know who"
"Eric laulatti Ariel.","Eric.nom sing.caus.3sg Ariel.part","`Eric made Ariel sing.’"
"Arielia laulatti rakastuminen.*mutta hanella ei ole aanta.","Ariel.part sing.caus.3sg falling.in.love. nom but has not3sg voice","Faling in love caused Ariel to feel like singing, but she has no voice."
"*Eric laulatti Arielia muta han ei voirut laulas.","Eric.nom sing.caus.3sg.pst Ariel.part but she not.3sg could sing","`Eric made Ariel (feel like singing) sing but she couldn’t sing.’"
"Maijaa laulattivat aina ne laulut.","Maija.part sing.caus.3pl.pst these songs","`These songs caused Maija to sing.’"
"*Maijaa laulattivat.","Maija.part sing.caus.3pl.pst","`Maija felt like singing.’"
"*Maijaa ei laulata mutta han halusi laulaa.","Maija.part not.3sg sing.caus but she want.3sg.pst sing.3sg","`Nothing made Maijaa feel like singing, but she wanted to sing.’"
"Jussi ei laulatti Maija mutta Maija ","Jussi.nom not.3sg sing.caus.3sg.pst Maija.nom but Maija.nom","??"
"Jussi laulatti Maijaa minutti.","Jussi.nom sing.caus.3sg Maija.part for a minute.","`Jussi made Maija sing for a minute.’"
"Jussi syotti Maijan tayteen. ","Jussi fed Maija.acc full","`Jussi fed Maija until she was full.’"
"Jussi laulatti Maijan pyorryksiin. ","Jussi.nom sing.caus.3sg.pst Maija.acc dizzy","`Jussi made Maija sing dizzy.’"
"*Maijan laulatii pyorroksiin.","Maija.acc sing.caus.3sg.pst dizzy","`Maija is caused to feel like singing dizzy.’"
"Maijaa laulatti uudestaan.","Maija.PART  sing.DES again.","`Maija feels like singing.’"
"Maija haluaa laulaa uudestaan.","Maija.NOM want.3sg sing.inf again.","`Maija wants to sing again.’"
"Eilen Maija halusi laulaa jauluna.","Yesterday, Maija.NOM want.PST sing.inf at.xmas","`Yesterday, Maija wanted to sing at Christmas.’"
"Maija sai Jussin nauramaan.","Maija.nom got Jussi.acc laugh.inf","`Maija got Jussi to laugh.’"
"Maija nauratti Jussia.","Maija.nom laugh.caus.3sg.pst Jussi.PAR","`Maija caused Jussi to laugh.’ "
"Maija sai Jussin nauranaan uudestaan.","Maija.nom got.3sg Jussi.3sg laugh again","`Maija got Jussi to laugh again.’"
"Maija nauratti Jussia uudesaan.","Maija.nom sing.caus.3sg.pst Jussi.part again","`Maija made Jussi sing again.’"
"Maija nauratti Jussin pyarsiin uudestaan.","Maija laugh.caus Jussi.acc sick again.","`Maija made Jussi laugh himself sick again.’"
"Maija sulatti voin uudestaan. ","Maija.nom melt.caus butter.acc again.","`Maija melted the butter again.’"
"Maijan taytyy opiskella uudestaan.","Maija.GEN must study.inf again.","`Maija must study again.’"
"Maija sai leikkia uudestaan.","Maija.nom was.allowed play again.","`Maija was allowed to play again.’"
"Maija pystyy leipomaan purakan uudestan.","Maija.nom is.abe bake.inf pie.acc","`Maija is able to bake pie again.’"
"Maijaa laulatti uudestaan.","Maija.PART  sing.DES again.","Maija feels like singing."
"Maija haluaa laulaa uudestaan.","Maija.NOM want.3sg sing.inf again.","`Maija wants to sing again.’"
"Eilen Maija halusi laulaa jauluna.","Yesterday, Maija.NOM want.PST sing.inf at.xmas","`Yesterday, Maija wanted to sing at Christmas.’"
"Maija sai Jussin nauramaan.","Maija.nom got Jussi.acc laugh.inf","`Maija got Jussi to laugh.’"
"Maija nauratti Jussia.","Maija.nom laugh.cause Jussi.PAR","`Maija caused Jussi to laugh.’ "
"Maija nauratti Jussin pyarsiin uudestaan.","Maija laugh.caus Jussi.acc sick again.","`Maija made Jussi laugh himself sick again.’"
"Maija sulatti voin uudestaan. ","Maija.nom melt.caus butter.acc again.","`Maija melted the butter again.’"
"Maijan taytyy opiskella uudestaan.","Maija.GEN must study.inf again.","`Maija must study again.’"
"Maija sai leikkia uudestaan.","Maija.nom was.allowed play again.","`Maija was allowed to play again.’"
"Maija pystyy leipomaan purakan uudestan.","Maija.nom is.abe bake.inf pie.acc","Maija is able to bake pie again."
"*Maijaa laulattaa laulu.","Maija.part sing.caus.3sg song.acc","`Maija feels like singing a song.’"
"Maija sai Jussin nauranaan uudestaan.","Maija.nom got Jussi.acc laugh again","`Maija got Jussi to laugh again.’"
"Minua suretti","I.part grieve.cause.past.3sg","`I felt grief/saddened’"
"Pekka-a raivo-stu-tta-a.","Pekka-part fury-inch-caus-3s","'Pekka feels infuriated'"
"Minu-a sure-tt-i (koira-ni kuolema).","I-part grieve-caus-past.3s dog-lsPx death.nom","`I grieved over my dog’s death’"
"Han-ta kirjoitu-tt-i.","s/he-part write-caus-past.3s","`She felt like writing.’"
"*Han-ta kirjoitu-tt-i kirjee (n)","s/he-part write-caus-past.3s letter.(acc)","`She felt like writing a letter.’"
"Han-ta kirjoitu-tt-i koira nsa koulema","s/he-part write-caus-past dog-3sPx death.nom","`She felt like writing about her dog’s death.’`Her dog’s death made her feel like writing.’"
"Itse-nsa nakeminen pelo·tt-j han·ta.","self-3Px seeing fear-caus-past.3s her-part","'Seeing herself frightened her' "
"Itse-nsa nakeminen kirjoitutti hanta.","self-3Px seeing write-caus-past.3s her-part","`Seeing herself made her feel like writing.’"
"*Pekkai epaily-tti itse-a-ani","Pekka.nom suspect-caus.3s1past self-part-3Px","`Pekka suspected himself.’"
"*Minu-a pelo-te-ttiin.","I-part fear-caus-pass.past","'(People) frightened me'"
"Minu-a pelo-te-l-tiin.","I-part fear-caus-pass.cont.past","`People keep scaring me.’"
"*Minua kirjoituteltiin","I-part write-caus-pass.cont.past","`I kept on feeling like writing.’"
"Hanta naurateltiin","him-part laugh-caus-pass.cont.past","`He kept being made to laugh’*`He kept on feeling like laughing’"
"Jussi ei laulattanut Maijaa mutta Maija halusi laulaa muuten vain.","Jussi.nom not.3sg sing.tta.inf Maija.part but Maija.nom want.3sg sing anyways","`Jussi didn’t make Maija sing but she wants to sing anyways.’"
"*Jussi laulatti Maijan","Jussi.nom sing.tta.3sg.past Maija.acc","Jussi made Maija sing. "
"*Jussi laulatti","Jussi.nom","Jussi made himself sing"
"*Jussi laulatti Maijaa laulut","Jussi sing.tta.3sg.pst Maija.part song.pl.acc","Jussi made Maija sing songs"
"Jussi laulatti Maijalla laulun","Jussi sing.tta.3sg.pst Maija.adessive song.acc","Jussi made/had Maija sing a song"
"*Jussi nauratti Maijalla naurun.","Jussi laugh.tta.3sg.pst Maija.adessive laugh.acc","Jussi made/had Maija laugh a laugh"
"Jussia laulatettin.","Jussi.part sing.pass.tta.3sg","Jussi was made to sing.*Jussi was caused to feel like singing."
"*Jussi laulu laulatettin","Jussi.nom song.acc sing.pass.tta","Jussi made a song be sung"
"Yukalle anettin kirja.","Yukka.allative give.pass book.acc","Yukka was given a book."
"kirja anettin Yukalle"," book.acc give.pass Yukka.allative ","A book was given to Yukka."
"H\”anet asiteltiin Yukalle.","He.acc introduce.pass yukka.all","He was introduced to Yukka."
"Minua aivastuttaa","I.part sneeze.tta.3sg","I feel like sneezing"
"Minua yskit\”a\”a","I.part cough.tta.3sg","I feel like coughing"
"??Suihkussa laulattaa Jussia","in.the.shower sing.tta.3sg Jussi.part","Jussi feels like singing in the shower."
"?Suihkussa laula Jussi.","in.the.shower sing.3sg Jussi.part","Jussi sings in the shower. "
"Huoneessa on kylm\”a","in.the.room is cold","it is cold in the room"
"","",""
"Minu-a sure-tt-i.","I-part grieve-caus-past.3s","'I felt grief/saddened"
"Pekka-a raivo-stu-tta-a.","Pekka-part fury-inch-caus-3s","'Pekka feels infuriated'"
"Minu-a sure-tt-i koira-ni kuolema.","I-part grieve-caus-past.3s dog-lsPx death.nom","'I felt grief about my dog's death'"
"??Minu-a sure-tt-i Pekka.","I-part grieve-caus-past.3s Pekka.nom","I-part grieve-caus-past.3s Pekka.nom"
"Koira raivo-stu-i (minu-Ile).","dog.nom fury-inch-past.3s me-all","'The dog became infuriated (because of me)'"
"Asia raivo-stu-tt-i minu-a I minu-t","matter.nom fury-inch-caus-past.3s me-part I me-acc","'The matter was infuriating I infuriated me'"
"Pekka h\”apde\”a-\”a minu-a.","Pekka.nom be ashamed-3s me-part","'Pekka is ashamed of me'"
"Tama-n kuvalehde-n ostaminen have-tt-i minu-a I*minu-t.","this-ace magazine-ae buying.nom be ashamed-caus-past.3s me-part I me-acc","'Buying this magazine made me feel ashamed'"
"Itse-nsa nakeminen hiive-tt-i I pelo·tt-i h\”an·t\”a.","self-3Px seeing be ashamed-caus-past.3s I fear-caus-past.3s himJher-part","'Seeing herselfshamedlfrightened him/her' "
"Itse-nsil nakeminen raivo-stu-tt-i I peHi-sty-tt.i h\”ane-t.","self-3Px seeing fury-inch-caus-past.3s I fear-inch-caus-past.3s him/her-acc","'Seeing herself infuriated I frightened himlher'"
"Han raivo-stu-i I suuttu-i itse-e-ns\”a","slhe.nom fury-inch-past,3s I get angry(inch)-past.3s seIf-ill-3Px","'Slhe became furious I angry with himself’"
"H\”an pela-sty-i itse-\”a-\”an","she.nom fear-inch-past.3s self-part-3Px","'She scared him/herself"
"Pekka ep\”aile-e I h\”ape\”a-\”a itse-\”a-\”an.","Pekka.nom doubt-3s I be ashamed-3s self-part-3Px","'Pekka doubts/ is ashamed of himself"
"AiIi raivo-stu-tt-i I suutu-tt-i itse-nsa.","Aili.nom fury-inch-caus-past,3s I get angry(inch)-caus-past.3s self(acc)-3Px","'AiIi infuriated I angered herself."
"??Pekkai ep\”aily-tti I h\”ave-tt-i itse-\”a-\”an","Pekka.nom suspect-caus.3s1past I be ashamed-caus.past.3s self-part-3Px","Pekka suspected! shamed himself"
"Mikko-a hannitt-i I sure-tt-i itse-ns\”a.","Mikko-part annoy.caus-past.3s I grieve-eaus-past.3s self.nom-3Px","'Mikko annoyed himselfI made himself sad'"
"Pekka-a inho-tta-a Jhave-tta-a omaj itse-nsa","Pekka-part loathe-caus-3s I be ashamed-caus-3s own self.nom-3Px","'Pekka loathes/feels ashamed of himself"
"??Pekkaj inho-tta-a / have-tta-a oma-a itse-a-anj","Pekka.nom loathe-eaus-3s I be ashamed-caus-3s own-part self-part-3Px","'Pekka loathes/feels ashamed of himself"
"Kaupungi-ssa ol-tiin i1ois-ia.","city-iness be-pass.past happy-pI.part","'In the city (the people) were happy'"
"Ihmise-t s\”a\”ali-vat Pekka-a.","people-nom.pl pity-3p Pekka-part","'People feel sorry for Pekka'"
"Pekka-a saali-taan.","Pekka-part pity-pass","'Pekka is pitied (by people)'"
"Mon-i-a asio+ta sur-raan / pel\”a-t\”a\”an.","many-pI-part thing-pi-part worry-pass / fear-pass","'Many things are worried about / feared'"
"Minu-a I minu-t ilah-du-te-ttiin I suutu-te-ttiin.","I-part I I-ace glad-inch-eaus-pass.past / get angry.inch-caus-pass.past","'(People) cheered me up I made me angry'"
"??Minu-a hanni-te-ttiin I pelo-te-ttiin","I-part armoy.caus-pass.past I fear-caus-pass.past","'(People) annoyed / frightened me'"
"miehe-n raivo-stu-tta-ma I peHi-sty-tta-ma nainen","man-gen fury-inch-caus-pass / fear-inch-caus- pass woman.nom","'the woman infuriated I frightened by the man'"
"??miehe-n epaily~tta-ma I mielly-tta-ma nainen","man-gen suspect-caus· pass I please-caus- pass woman nom","'the woman made suspicious I pleased by the man'"
"miehen rakasta-ma nainen","man-gen love- pass \voman.nom","'the woman loved by the man'"
"Pekka nah-tiin.","Pekka.nom see-pass.past","'Pekka was seen'"
"Sina halua-t osta-a olue-n.","you.nom want-2s buy-inf beer-ace","'You want to buy a beer'"
"Minu-n t\”ayty-y osta-a uusi tietokone.","I-gen must-3s buy-inf new.nom computer.nom","'I must buy a new computer'"
"Jarmo-a hannitta-a I mielly-tta-a nah-da mies.","Janno-part annoy.caus·3s I please-caus-3s sec-inf man.nom","'Janno is annoyed I pleased to see the man'"
"Min\”a ep\”aily-t\”a-n h\”an-t\”a","I.nom suspect-caus-Is himfher-part","'I make himlher suspicious'"
"Minu-a sure-tt-i (koira-ni kuolcma).","I-part grieve-caus-past.3s dog-lsPx death.nom","'I grieved (over my dog's death)"""
"Koirie-ni k-uolema-t sure-tti-vat minu-a.","dogs-I sPx deaths-nom.pl grieve-caus-3p me-part","'My dogs' deaths grieved me'"
"Sin\”a n\”ay-t ole-van v\”asynyt.","you.nom seem·2s be-pcp tired.sg","'You seem to be tired'"
"Te n\”ay-tte ole-van v\”asyne-i-t\”a.","you(pl).nom seem-2p he-pcp tired-pI-part","'You (PI) seem to be tired'"
"Min\”a sur-in h\”an-t\”a I *h\”ane-t","I.nom grieve-past-ls him/her-part I him/her-acc","'I was sad for himlher'"
"Asia sure-tt-i minu-a. I *minu-t","matter.nom grieve-caus-past.3s me-part I me-ace","'The matter made me sad'"
"Liisa pelka~si koira~a yhde·n vuode-n aja~n. I ??yhde~ssa vuode~ssa","Liisa.nom fear~past.3s dog~part one~acc year~acc time~accloneÅEiness year~iness","'Liisa feared the dog for a year I in a year'"
"Koira pelo-tt·i Liisa·a yhde-n YUode-n aja·n /??yhde·ss\”a vuode·ssa.","dog.n fear-caus-past.3s Liisa-p one-ace year-ace time-acc/one-iness year-iness","'The dog frightened Liisa for a year I in a year'"
"*Kaisa on inhoa-massa I saali-massa Matti~a.","Kaisa is disgust- prog I pity~prog Matti~part","'Kaisa is disgusted by I pitying Matti'"
"*Kaisa on inho~tta~massa I saali~tta~massa Matti~a.","Kaisa is disgust~caus~prog I pityÅEcaus~prog Matti-part","'Kaisa is disgusting I causing pity in Matti'"
"Matti sure-e uutisi-a.","Matti.nom grieve-3s news-part","'Matti is sad because of the news (now)''#Matti is sad because ofthe news (on a regular basis)'"
"Uutiset sure-tta-vat Matti-a.","news.nom grieve-caus-3p Matti-part","'The news makes Matti sad (now)''#The news makes Matti sad (on a regular basis)'"
"Liisa pela-sty-i koira-a yhde-n vuode-n aja-n I *yhde-ssa vuode-ssa.","Liisa.n fear-inch-past.3s dog-p one-ace year-acc time-acc/one-iness year-iness","'Liisa became frightened of the dog for a year I in a year'"
"Liisa peIa-sty-i koira-a puolikuoliaaksi.","Liisa.nom fcar-inch-past.3s dog-part half-to-death","'The dog scared Liisa half to death'e"
"Koira pela-sty-tt-i Liisa-n puolikuoliaaksi.","dog.nom fear-inch-caus-past.3s Liisa-acc half-te-death","`The dog frightened Liisa half to death'"
"Koirn pel\”a-sty-tt-i Liisa-n I Liisa-a yhde-ss\”a vuode-ssa.","dog.nom fear-inch-caus-past.3s Liisa-acc I Liisa-part one-iness year-iness","'The dog frightened Liisa in a year' "
"??Mies rakast-i AtUla-a tahallaan","man.nom love-past.3s Anna.part on purpose","'The man loved Anna on purpose'"
"Mies suutu-tt-i Anna-n tahallaan","man.nom get angry.inch-caus-past3s Anna-ace on purpos","'The man made Anna angry on purpose'"
"??Mies epaily-tt-i Anna-a tahallaan.","man.nom suspect-caus-past.3s Anna-part on purpose","'The man made Anna suspicious on purpose'"
"H\”an-t\”a mieIIy-tt-i vaimo-nsa n\”akeminen.","him-part please-caus-past.3s wife-3Px seeing","""He was pleased to see his wife'"
"Vaimo-nsa nakeminen mielly-tt-i h\”an-t\”a","wife-3Px seeing please-caus-past.3s him.part","""Seeing his wife pleased him'"
"Pekka pelk\”a-\”a sota-a I Liisa-a.","Pekka.nom fear-pasl3s war-part I Liisa.part","'Pekka fears war/ Liisa'"
"??Pekka s\”a\”ali onnettomuu·tta.","Pekka.nom pity.past.3s accident-part","`Pekka pities the accident.'"
"??Onnettomuus saali-tt-ivat Pekka-a.","accident.nom pity-caus-past/3p Pekka-part","`The accident aroused pity in Pekka'"
"H\”an kirjoitt-i omael\”am\”akerta-nsa.","s1he.nom write-past.3s autobiography(acc)-3Px","'S/he wrote his/her autobiography'"
"H\”an kirjoitu-tt-i oma|’akerta-nsa (kirjailija-lla)","s/he.nom write-caus-past.3s autobiography(acc)-3Px (writer-adess)","'Slhe had (a writer) write his/her autobiography'"
"Lapsi synty-i eilen.","child.nom be born-past.3s yesterday","'The child was born yesterday'"
"Nainen synny-tti lapse-no","woman.nom be born-caus-past.3s child-ace","'The woman gave birth to the child'"
"Koira raivo-stu-i minu-lIe.","dog.nom fury-inch-past.3s me-all","'The dog became infuriated because ofme'"
"Asia raivo-stu-tt-i minu-a I minu-t.","matter.nom fury-inch-caus-past.3s me-part / me-ace","'The matter infuriated me’"
"Pekka h\”ape\”a-\”a minu-a.","Pekka.nom be ashamed-3s me-part","Pekka is ashamed ofme'"
"Pekka h\”ave-tt-i minu-a.","Pekka.nom be ashamed-caus-past.3s me-part","'Pekka made me feel ashamed'"
"T\”am\”a-n kuvalehde-n ostaminen h\”ave-tt-i minu-a.","this-acc magazine-acc buying.nom be ashamed-caus-past.3s me-part","'Buying this magazine made me feel ashamed"
"Minu-a h\”ave-tt-i (t\”am\”a-n kuvalehde-n ostaminen).","me-part be ashamed-caus-past.3s this-ace magazine-acc buying.nom","'I felt ashamed (to buy this magazine)'"
"??Pekka ep\”aily-tti I h\”ave-tti itse-\”a-\”an","Pekka.nom suspect-caus.3s/past I be ashamed-caus.3s1past self-part-3Px","'Pekka suspected! shamed himself"
"Liisa pel\”a-sty-i auto-a.","Liisa.nom fear-inch-past.3s car-part","'Uisa was frightened by a car'"
"*Jussi alka-tta-a laula minua","Jussi.NOM begin-CAUS-3sg sing I.PART","`Jussi makes me begin to sing'"
"Maijaa naytaa palelevan ","Maija.part seem.3sg feel.cold.caus.inf.acc ","Maija seems to feel cold. "
"Maija-a naytaa sure-tta-van. ","Maija-part seem.3sg grieve-caus-inf-acc","'Maija seems to feel grief/saddened' "
"Jussi-a naytaa raivo-stu-tta-van. ","Jussi-part seem.3sg fury-inch-caus-3s ","'Jussi seems to feel infuriated' "
"Maija-a nuka-ttaa.","Maija-PART sleep-CAUS-3SG.","`Maija feels like sleeping'"
"Maija halua-a nakua.","Maija.NOM want-3sg sleep.INF","`Maija wants to sleep'"
"*Maijalla laulatta (laulun).","Maija.add sing.caus.3sg","Maija felt like singing."
"""Maija-a palel-s-i""","Maija-PART cold-COND-3SG-PST","`Maija felt cold'"
"Maija-a itke-tt-i","Maija-PART weep-CAUS-3SG.PST","`Maija was on the brink of weeping'"
"Karkituttaa","candy.CAUS.3sg","'I feel like eating candy.'"
"lapsettaa","child.CAUS.3SG","`feel like ? a child'"
"naitatttaa","woman.CAUS.3sg","I feel like having sex"
"kahuituttaa","coffee.CAUS.3sg","I feel like having coffee"
"Minua huimaa","I.PART dizzy","I feel dizzy"
"kielt\""ani poltaa","tongue.1PX burn.3sg","My tongue is burning"
"Minua hihityttaa, mutta varon nayttamasta sita Andylle.  Sen naamasta nakee","I-PAR  giggle-3sg  but I'm careful not to show it to Andy  his-GEN face   sees",""
"kaiken, silla lukee otsassa jos             sita       vituttaa tai havettaa tai naitattaa.","everything on-him reads on-forehead if   he-PAR upset-3sg or shame-3sg or have-sex-3sg",""
